mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
60005.52036,4.503,4.385,12.711,5,15.681,0.023,r
60008.05543,4.479,4.383,12.788,5,16.22,0.022,g
60008.05787,4.479,4.383,12.788,5,15.665,0.025,r
60017.04782,4.392,4.376,13.016,5,16.172,0.021,g
60017.05027,4.392,4.376,13.016,5,15.601,0.028,r
60020.08012,4.362,4.373,13.076,5,16.178,0.02,g
60020.08256,4.362,4.373,13.077,5,15.609,0.027,r
60023.02407,4.334,4.37,13.127,5,16.185,0.022,g
60023.02652,4.334,4.37,13.127,5,15.611,0.024,r
60026.06304,4.304,4.367,13.171,5,16.168,0.016,g
60026.06547,4.304,4.367,13.171,5,15.587,0.033,r
60030.05248,4.265,4.363,13.216,5,16.144,0.016,g
60030.05492,4.265,4.363,13.216,5,15.572,0.021,r
60032.0472,4.245,4.36,13.233,5,16.096,0.021,g
60032.04964,4.245,4.36,13.233,5,15.526,0.026,r
60036.79456,4.199,4.353,13.262,5,16.09,0.024,g
60036.7977,4.199,4.353,13.262,5,15.535,0.029,r
60036.99705,4.197,4.353,13.263,5,16.069,0.016,g
60036.99949,4.197,4.353,13.263,5,15.502,0.018,r
60038.99426,4.177,4.35,13.27,5,15.466,0.023,r
60038.99427,4.177,4.35,13.27,5,16.034,0.01,g
60042.00789,4.147,4.344,13.276,5,16.015,0.015,g
60042.01034,4.147,4.344,13.276,5,15.447,0.016,r
60044.99696,4.118,4.339,13.276,5,16.046,0.016,g
60044.9994,4.118,4.339,13.276,5,15.491,0.017,r
60048.7674,4.081,4.33,13.268,5,16.007,0.011,g
60048.76984,4.081,4.33,13.268,5,15.449,0.015,r
60050.99422,4.059,4.325,13.26,5,15.999,0.014,g
60050.99667,4.059,4.325,13.26,5,15.439,0.015,r
60055.36127,4.015,4.314,13.237,5,15.964,0.013,g
60055.36373,4.015,4.314,13.237,5,15.39,0.013,r
60056.99418,3.999,4.309,13.227,5,15.963,0.014,g
60056.99662,3.999,4.309,13.227,5,15.39,0.014,r
60060.38728,3.965,4.299,13.201,5,15.965,0.017,g
60060.38975,3.965,4.299,13.201,5,15.375,0.017,r
