mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59326.592,2.429,2.788,20.787,4.93644,18.13,0.104,o
59326.59613,2.429,2.788,20.788,4.93644,18.546,0.147,o
59326.60133,2.429,2.788,20.789,4.93644,18.402,0.129,o
59332.58824,2.383,2.679,21.955,5.13732,18.247,0.194,o
59332.59239,2.383,2.679,21.956,5.13732,18.173,0.174,o
59332.59986,2.383,2.679,21.958,5.13732,17.834,0.122,o
59332.60902,2.383,2.679,21.959,5.13732,18.134,0.166,o
59348.57753,2.26,2.385,24.95,5.76972,17.481,0.053,o
59348.58306,2.26,2.385,24.951,5.77158,17.446,0.05,o
59348.59968,2.26,2.385,24.954,5.77158,17.461,0.055,o
59348.60843,2.26,2.385,24.956,5.77158,17.572,0.112,o
59352.57704,2.229,2.312,25.667,5.95572,17.317,0.051,o
59352.57842,2.229,2.311,25.668,5.95572,17.435,0.058,o
59352.57888,2.229,2.311,25.668,5.95572,17.331,0.054,o
59352.58119,2.229,2.311,25.668,5.95572,17.353,0.052,o
59352.58303,2.229,2.311,25.668,5.95572,17.374,0.055,o
59352.59557,2.229,2.311,25.671,5.95572,17.395,0.055,o
59352.5965,2.229,2.311,25.671,5.95572,17.489,0.058,o
59352.59788,2.229,2.311,25.671,5.95572,17.218,0.05,o
59352.60443,2.229,2.311,25.672,5.95572,17.43,0.081,o
59352.60722,2.228,2.311,25.673,5.95572,17.358,0.09,o
59358.57672,2.182,2.201,26.718,6.25332,17.093,0.055,o
59358.58222,2.182,2.201,26.719,6.25332,17.094,0.049,o
59358.59921,2.182,2.201,26.722,6.25518,17.113,0.047,o
59358.60516,2.182,2.201,26.723,6.25518,17.144,0.075,o
59364.57366,2.135,2.091,27.739,6.58068,16.773,0.047,o
59364.57919,2.135,2.091,27.74,6.58254,16.963,0.054,o
59364.59494,2.134,2.091,27.743,6.58254,16.91,0.051,o
59364.60122,2.134,2.091,27.744,6.58254,16.773,0.051,o
59372.58179,2.072,1.946,29.054,7.07172,16.926,0.028,c
59372.58695,2.071,1.946,29.055,7.07172,16.946,0.029,c
59372.59986,2.071,1.946,29.057,7.07358,16.883,0.034,c
59372.604,2.071,1.946,29.058,7.07358,16.828,0.042,c
59386.57857,1.961,1.7,31.213,8.09658,15.879,0.019,o
59386.58407,1.961,1.7,31.214,8.09844,15.859,0.018,o
59386.59793,1.961,1.7,31.216,8.09844,15.891,0.02,o
59386.60344,1.961,1.7,31.217,8.09844,15.849,0.022,o
59388.53753,1.945,1.666,31.502,8.26026,15.715,0.025,o
59388.54076,1.945,1.666,31.502,8.26026,15.754,0.025,o
59388.5463,1.945,1.666,31.503,8.26212,15.756,0.024,o
59388.55966,1.945,1.666,31.505,8.26212,15.794,0.024,o
59390.5416,1.93,1.632,31.794,8.43324,15.749,0.04,o
59390.54481,1.929,1.632,31.794,8.43324,16.309,0.063,o
59390.55032,1.929,1.632,31.795,8.43324,15.797,0.047,o
59390.5604,1.929,1.632,31.797,8.4351,15.759,0.039,o
59392.57227,1.913,1.598,32.087,8.61366,15.556,0.021,o
59392.57642,1.913,1.598,32.087,8.61366,15.569,0.022,o
59392.58648,1.913,1.598,32.089,8.61552,15.523,0.021,o
59392.59783,1.913,1.597,32.09,8.61738,15.557,0.021,o
59400.58832,1.85,1.465,33.212,9.393,15.203,0.013,o
59400.59937,1.85,1.465,33.214,9.393,15.218,0.013,o
59400.60214,1.85,1.465,33.214,9.39486,15.244,0.013,o
59400.60499,1.85,1.465,33.214,9.39486,15.23,0.013,o
59402.5904,1.835,1.433,33.486,9.60504,15.604,0.015,c
59402.59639,1.835,1.433,33.487,9.60504,15.572,0.014,c
59402.60055,1.835,1.433,33.487,9.60504,15.58,0.015,c
59402.61003,1.835,1.433,33.489,9.6069,15.595,0.018,c
59404.54241,1.819,1.402,33.75,9.81708,15.081,0.014,o
59404.55031,1.819,1.402,33.751,9.81894,15.084,0.013,o
59404.55356,1.819,1.402,33.752,9.81894,15.071,0.013,o
59404.56817,1.819,1.402,33.754,9.8208,15.047,0.014,o
59404.58893,1.819,1.401,33.756,9.82266,15.1,0.013,o
59406.53483,1.804,1.371,34.017,10.044,15.427,0.083,c
59408.55117,1.788,1.339,34.285,10.27836,14.849,0.013,o
59408.55439,1.788,1.339,34.285,10.28022,14.845,0.013,o
59408.55993,1.788,1.339,34.286,10.28022,14.853,0.013,o
59408.571,1.788,1.339,34.287,10.28208,14.855,0.013,o
59412.54455,1.757,1.278,34.808,10.77126,14.626,0.037,o
59412.54777,1.757,1.278,34.809,10.77126,14.671,0.012,o
59412.55791,1.757,1.278,34.81,10.77312,14.669,0.013,o
59412.56457,1.757,1.278,34.811,10.77312,14.662,0.071,o
59414.54456,1.742,1.248,35.068,11.0298,15.031,0.013,c
59414.54776,1.742,1.248,35.069,11.03166,15.036,0.013,c
59414.55464,1.742,1.248,35.07,11.03166,15.006,0.013,c
