mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59815.49576,2.273,1.584,22.49,8.68806,19.393,0.379,o
59815.49894,2.273,1.584,22.489,8.68806,19.971,0.593,o
59815.50304,2.273,1.584,22.489,8.68806,19.319,0.319,o
59816.48924,2.267,1.568,22.355,8.77734,19.365,0.338,o
59816.49106,2.267,1.568,22.355,8.77734,19.426,0.358,o
59817.49463,2.26,1.552,22.213,8.86848,19.701,0.35,c
59818.59055,2.253,1.534,22.05,8.97078,20.242,0.507,c
59819.48375,2.247,1.52,21.91,9.05448,19.544,0.362,o
59823.46128,2.22,1.458,21.222,9.4395,19.348,0.322,o
59827.47656,2.193,1.397,20.41,9.85056,19.259,0.294,o
59827.48158,2.193,1.397,20.409,9.85056,19.41,0.338,o
59827.48704,2.192,1.397,20.408,9.85056,19.252,0.292,o
59828.47677,2.186,1.383,20.189,9.95472,19.107,0.34,o
59828.48183,2.186,1.383,20.188,9.95658,19.394,0.436,o
59828.48729,2.186,1.382,20.187,9.95658,19.423,0.435,o
59838.52627,2.118,1.242,17.529,11.08188,19.189,0.477,o
59838.53612,2.118,1.242,17.526,11.08188,18.845,0.34,o
59839.44195,2.112,1.23,17.246,11.18976,19.319,0.418,o
59839.4469,2.112,1.23,17.244,11.18976,19.026,0.312,o
59839.45622,2.112,1.23,17.241,11.19162,18.901,0.277,o
59840.43927,2.105,1.217,16.929,11.3088,18.886,0.28,o
59840.44298,2.105,1.217,16.928,11.3088,19.088,0.308,o
59840.47617,2.105,1.217,16.918,11.31252,18.978,0.274,o
59841.50729,2.098,1.204,16.582,11.43714,19.676,0.577,o
59841.51188,2.098,1.203,16.58,11.43714,18.827,0.263,o
59841.52068,2.098,1.203,16.577,11.439,18.833,0.262,o
59842.51387,2.091,1.191,16.246,11.55804,18.978,0.302,o
59842.51862,2.091,1.191,16.244,11.5599,19.081,0.334,o
59842.55339,2.091,1.19,16.232,11.56362,18.734,0.256,o
