mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59388.5847,4.405,4.61,12.686,2.9853,19.622,0.238,o
59404.58343,4.38,4.369,13.348,3.15084,20.367,0.311,o
59414.57291,4.365,4.216,13.459,3.2643,20.464,0.281,c
59415.55703,4.364,4.201,13.456,3.27546,20.216,0.318,o
59428.59913,4.345,4.006,13.171,3.43542,20.136,0.305,o
59434.57204,4.337,3.92,12.88,3.51168,20.328,0.332,o
59438.53127,4.331,3.865,12.63,3.5619,20.472,0.335,o
59438.54189,4.331,3.865,12.629,3.5619,20.172,0.259,o
59438.55643,4.331,3.864,12.628,3.5619,20.013,0.223,o
59438.5629,4.331,3.864,12.628,3.5619,19.991,0.215,o
59448.51615,4.317,3.732,11.8,3.68838,19.423,0.304,o
59450.52478,4.315,3.707,11.599,3.71256,19.496,0.359,o
59456.52714,4.307,3.635,10.94,3.78696,20.082,0.28,o
59456.52898,4.307,3.635,10.939,3.78696,20.015,0.262,o
59456.53175,4.307,3.635,10.939,3.78696,20.061,0.272,o
59456.53728,4.307,3.635,10.938,3.78696,19.976,0.252,o
59460.5108,4.301,3.591,10.455,3.83346,20.389,0.336,o
59461.46448,4.3,3.58,10.334,3.84462,20.101,0.208,c
59461.47319,4.3,3.58,10.332,3.84462,20.437,0.28,c
59462.52784,4.299,3.569,10.197,3.85578,20.001,0.18,c
59464.5306,4.296,3.549,9.933,3.8781,19.778,0.197,o
59466.5113,4.294,3.529,9.666,3.90042,19.942,0.172,c
59470.47039,4.289,3.492,9.118,3.94134,20.293,0.263,c
59470.48574,4.289,3.492,9.116,3.94134,20.166,0.241,c
59474.49388,4.284,3.458,8.55,3.9804,19.373,0.215,o
59484.46324,4.271,3.39,7.191,4.06038,20.105,0.364,o
59484.48809,4.271,3.39,7.187,4.06038,19.598,0.234,o
59485.50169,4.27,3.384,7.061,4.06782,20.318,0.418,o
59485.53685,4.27,3.384,7.057,4.06782,20.104,0.354,o
59485.56434,4.27,3.384,7.054,4.06782,19.611,0.24,o
59486.44102,4.269,3.379,6.948,4.0734,19.454,0.188,o
59486.44331,4.269,3.379,6.947,4.0734,19.646,0.224,o
59486.44606,4.269,3.379,6.947,4.0734,20.033,0.316,o
59486.45208,4.269,3.379,6.946,4.0734,19.6,0.211,o
59488.4507,4.267,3.369,6.717,4.08456,19.901,0.25,o
59488.45254,4.267,3.369,6.716,4.08456,19.446,0.164,o
59488.45822,4.267,3.369,6.716,4.08642,19.919,0.249,o
59488.47693,4.267,3.369,6.714,4.08642,19.999,0.275,o
59489.48353,4.265,3.364,6.605,4.092,19.76,0.239,o
59489.48689,4.265,3.364,6.605,4.092,19.777,0.24,o
59489.52218,4.265,3.364,6.601,4.092,19.399,0.176,o
59489.55049,4.265,3.364,6.598,4.092,19.285,0.165,o
59490.44529,4.264,3.36,6.507,4.09572,19.448,0.184,o
59490.44944,4.264,3.36,6.506,4.09572,19.411,0.177,o
59490.45955,4.264,3.36,6.505,4.09572,19.607,0.214,o
59490.47127,4.264,3.36,6.504,4.09572,19.768,0.239,o
59491.4897,4.263,3.356,6.406,4.1013,19.693,0.211,o
59491.54025,4.263,3.356,6.401,4.1013,19.614,0.214,o
59491.56505,4.263,3.356,6.399,4.1013,19.684,0.22,o
59492.45178,4.262,3.353,6.318,4.10502,19.052,0.268,o
59493.4351,4.261,3.349,6.236,4.1106,19.718,0.222,o
59493.43741,4.261,3.349,6.236,4.1106,19.047,0.145,o
59493.44015,4.261,3.349,6.235,4.1106,19.002,0.172,o
59493.46193,4.261,3.349,6.234,4.1106,19.59,0.203,o
59494.43425,4.26,3.346,6.159,4.11432,20.335,0.379,o
59494.44206,4.259,3.346,6.158,4.11432,19.745,0.221,o
59495.35823,4.258,3.343,6.094,4.11804,19.622,0.217,o
59495.37816,4.258,3.343,6.093,4.11804,19.969,0.278,o
59496.40791,4.257,3.34,6.029,4.1199,19.316,0.161,o
59496.40975,4.257,3.34,6.029,4.1199,20.035,0.309,o
59496.41298,4.257,3.34,6.029,4.1199,19.487,0.19,o
59496.41805,4.257,3.34,6.029,4.1199,19.66,0.226,o
59498.41381,4.255,3.336,5.93,4.12548,19.902,0.265,o
59498.41564,4.255,3.336,5.93,4.12548,19.586,0.199,o
59498.41934,4.255,3.336,5.93,4.12548,19.929,0.264,o
59500.36732,4.253,3.332,5.869,4.13106,19.367,0.17,o
59500.37285,4.253,3.332,5.868,4.13106,19.785,0.241,o
59500.37792,4.253,3.332,5.868,4.13106,19.667,0.218,o
59501.40525,4.251,3.331,5.85,4.13292,19.582,0.234,o
59501.40708,4.251,3.331,5.85,4.13292,19.332,0.186,o
59501.40982,4.251,3.331,5.85,4.13292,19.608,0.236,o
59501.42837,4.251,3.331,5.85,4.13292,19.358,0.19,o
59503.39317,4.249,3.329,5.843,4.13478,19.39,0.236,o
59509.4746,4.242,3.33,6.051,4.13292,18.595,0.181,o
59510.4219,4.241,3.331,6.113,4.13292,19.495,0.326,o
59511.36971,4.24,3.332,6.182,4.13106,19.558,0.29,o
59511.37201,4.24,3.332,6.182,4.13106,19.637,0.311,o
59511.38486,4.24,3.332,6.183,4.13106,19.27,0.221,o
59512.43591,4.239,3.334,6.267,4.1292,19.904,0.327,o
59513.36395,4.238,3.336,6.348,4.12734,20.078,0.366,o
59513.37086,4.238,3.336,6.349,4.12734,19.576,0.23,o
59513.4061,4.238,3.336,6.352,4.12734,19.244,0.173,o
59515.43151,4.236,3.34,6.549,4.1199,20.123,0.435,o
59515.43474,4.236,3.34,6.55,4.1199,19.834,0.287,o
59515.47202,4.236,3.34,6.554,4.1199,19.803,0.344,o
59517.43874,4.234,3.346,6.769,4.11432,19.611,0.141,c
59517.44154,4.234,3.346,6.769,4.11432,19.785,0.165,c
59517.4499,4.234,3.346,6.77,4.11432,19.781,0.167,c
59518.38496,4.233,3.349,6.879,4.1106,20.212,0.234,c
59518.38824,4.233,3.349,6.879,4.1106,20.078,0.208,c
59518.39532,4.233,3.349,6.88,4.1106,19.968,0.19,c
59518.40558,4.233,3.349,6.881,4.1106,19.823,0.166,c
59519.40666,4.232,3.352,7.003,4.10502,19.769,0.197,o
59519.40989,4.232,3.352,7.003,4.10502,19.425,0.144,o
59519.44511,4.232,3.353,7.007,4.10502,19.715,0.182,o
59519.47363,4.232,3.353,7.011,4.10502,19.34,0.136,o
59520.38763,4.231,3.356,7.126,4.1013,19.593,0.168,o
