mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
58841.5206,4.652,4.174,11.201,3.29778,19.337,0.107,o
58841.52607,4.652,4.174,11.201,3.29778,19.391,0.111,o
58841.53896,4.652,4.174,11.2,3.29778,19.503,0.12,o
58841.54349,4.652,4.174,11.199,3.29778,19.403,0.108,o
58845.55765,4.645,4.111,10.842,3.348,19.563,0.121,o
58845.56063,4.645,4.111,10.842,3.348,19.166,0.086,o
58845.56854,4.645,4.111,10.841,3.348,19.293,0.096,o
58845.58328,4.645,4.11,10.84,3.348,19.291,0.096,o
58849.53704,4.639,4.05,10.43,3.39822,19.569,0.15,o
58849.55675,4.639,4.05,10.428,3.39822,19.253,0.103,o
58849.56303,4.639,4.05,10.427,3.39822,19.62,0.14,o
58849.56581,4.639,4.05,10.427,3.39822,19.354,0.113,o
58865.597,4.612,3.833,8.193,3.59166,19.116,0.144,o
58867.51165,4.609,3.811,7.87,3.61212,19.234,0.111,o
58867.51522,4.609,3.811,7.869,3.61212,18.99,0.091,o
58867.52968,4.609,3.81,7.867,3.61212,19.141,0.107,o
58867.53658,4.609,3.81,7.865,3.61212,19.269,0.119,o
58869.44307,4.606,3.789,7.533,3.63258,19.243,0.098,o
58869.44623,4.606,3.789,7.532,3.63258,19.257,0.099,o
58869.45374,4.606,3.789,7.531,3.63258,19.311,0.103,o
58869.47395,4.606,3.789,7.527,3.63258,19.258,0.103,o
58871.60619,4.602,3.766,7.144,3.6549,19.702,0.137,c
58871.62741,4.602,3.765,7.14,3.6549,19.402,0.108,c
58871.6405,4.602,3.765,7.138,3.6549,19.345,0.109,c
58871.6472,4.602,3.765,7.136,3.6549,19.638,0.179,c
58873.50279,4.599,3.746,6.793,3.6735,19.15,0.099,o
58873.50568,4.599,3.746,6.793,3.6735,19.243,0.107,o
58873.51178,4.599,3.746,6.792,3.6735,18.978,0.087,o
58873.52205,4.599,3.746,6.79,3.67536,19.058,0.09,o
58875.52643,4.596,3.726,6.411,3.69396,19.434,0.094,c
58875.52927,4.596,3.726,6.41,3.69396,19.786,0.126,c
58875.53462,4.596,3.726,6.409,3.69396,19.56,0.104,c
58875.54897,4.596,3.726,6.406,3.69396,19.406,0.092,c
58877.43822,4.593,3.709,6.043,3.7107,19.306,0.184,o
58877.44467,4.593,3.709,6.042,3.7107,18.988,0.111,o
58877.4665,4.593,3.708,6.037,3.71256,19.102,0.106,o
58879.38887,4.589,3.692,5.662,3.7293,19.505,0.289,c
58881.45003,4.586,3.675,5.256,3.74604,19.153,0.104,o
58881.46117,4.586,3.675,5.254,3.74604,18.931,0.085,o
58881.46447,4.586,3.675,5.254,3.74604,19.085,0.097,o
58881.47483,4.586,3.675,5.251,3.74604,19.042,0.095,o
58881.48917,4.586,3.675,5.249,3.74604,18.925,0.087,o
58881.49565,4.586,3.675,5.247,3.74604,19.131,0.104,o
58885.45129,4.579,3.646,4.47,3.7758,18.863,0.14,o
58885.4649,4.579,3.646,4.467,3.7758,18.87,0.14,o
58901.46719,4.551,3.576,2.396,3.84834,18.548,0.071,o
58901.4745,4.551,3.576,2.396,3.84834,18.584,0.074,o
58901.49102,4.551,3.576,2.396,3.84834,18.65,0.114,o
58901.4955,4.551,3.576,2.396,3.84834,18.799,0.109,o
58903.49848,4.548,3.573,2.469,3.85206,18.989,0.072,c
58903.50171,4.548,3.573,2.47,3.85206,19.021,0.074,c
