mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
58903.51234,4.548,3.573,2.47,3.85206,18.861,0.066,c
58903.52288,4.548,3.573,2.471,3.85206,19.11,0.082,c
58905.41957,4.544,3.572,2.628,3.85392,18.455,0.059,o
58905.42307,4.544,3.572,2.629,3.85392,18.519,0.062,o
58905.42837,4.544,3.572,2.629,3.85392,18.603,0.066,o
58905.43968,4.544,3.572,2.63,3.85392,18.451,0.058,o
58911.35707,4.534,3.573,3.5,3.85206,18.472,0.078,o
58911.38195,4.534,3.573,3.504,3.85206,18.749,0.094,o
58911.39314,4.534,3.573,3.506,3.85206,18.697,0.088,o
58911.39645,4.534,3.573,3.507,3.85206,18.584,0.083,o
58913.38433,4.53,3.576,3.875,3.84834,18.375,0.085,o
58913.38757,4.53,3.576,3.876,3.84834,18.357,0.084,o
58913.39324,4.53,3.576,3.877,3.84834,18.53,0.097,o
58913.40323,4.53,3.576,3.879,3.84834,18.469,0.09,o
58919.37291,4.519,3.592,5.075,3.8316,18.916,0.181,o
58919.37949,4.519,3.592,5.076,3.8316,18.78,0.158,o
58919.38325,4.519,3.592,5.077,3.8316,18.557,0.129,o
58919.3941,4.519,3.592,5.079,3.8316,18.796,0.161,o
58931.40124,4.498,3.654,7.511,3.7665,19.279,0.091,c
58931.40407,4.498,3.654,7.511,3.7665,19.07,0.077,c
58931.41068,4.498,3.654,7.513,3.7665,19.241,0.089,c
58931.42187,4.498,3.654,7.515,3.7665,19.06,0.077,c
58933.32145,4.494,3.668,7.878,3.75348,18.749,0.078,o
58933.32529,4.494,3.668,7.879,3.75348,18.492,0.064,o
58933.3306,4.494,3.668,7.88,3.75348,18.813,0.083,o
58933.3421,4.494,3.668,7.882,3.75348,18.667,0.074,o
58941.24442,4.48,3.731,9.292,3.68838,18.892,0.127,o
58941.2542,4.48,3.731,9.294,3.68838,18.736,0.115,o
58941.26506,4.48,3.731,9.296,3.68838,18.607,0.136,o
58941.27235,4.48,3.732,9.297,3.68838,18.513,0.131,o
58947.42756,4.468,3.79,10.262,3.63258,18.688,0.224,o
58947.43356,4.468,3.79,10.263,3.63258,19.464,0.459,o
58947.44382,4.468,3.79,10.264,3.63258,18.638,0.227,o
58948.29653,4.467,3.798,10.388,3.62328,18.322,0.098,o
58948.29935,4.467,3.798,10.389,3.62328,18.681,0.136,o
58948.30594,4.467,3.799,10.39,3.62328,18.667,0.134,o
58948.31616,4.467,3.799,10.391,3.62328,18.487,0.113,o
58951.29483,4.461,3.83,10.804,3.59352,19.145,0.083,c
58951.29819,4.461,3.83,10.804,3.59352,18.885,0.067,c
58951.32984,4.461,3.83,10.808,3.59352,19.081,0.077,c
58951.33493,4.461,3.83,10.809,3.59352,18.964,0.07,c
58951.35398,4.461,3.83,10.812,3.59352,19.029,0.081,c
58953.37277,4.457,3.852,11.073,3.57306,18.606,0.068,o
58953.37602,4.457,3.852,11.074,3.57306,18.579,0.067,o
58953.38163,4.457,3.852,11.074,3.57306,18.561,0.067,o
58953.39171,4.457,3.852,11.076,3.57306,18.547,0.068,o
58957.30716,4.45,3.896,11.541,3.534,18.443,0.062,o
58957.31279,4.45,3.896,11.542,3.53214,18.402,0.062,o
58957.32665,4.45,3.896,11.544,3.53214,18.288,0.115,o
58957.33087,4.45,3.896,11.544,3.53214,18.515,0.075,o
58959.31673,4.446,3.919,11.759,3.51168,19.151,0.087,c
58959.32192,4.446,3.919,11.76,3.51168,19.201,0.091,c
58959.32567,4.446,3.919,11.76,3.51168,19.34,0.102,c
58959.33895,4.446,3.919,11.762,3.51168,19.084,0.083,c
58961.32048,4.442,3.943,11.962,3.49122,18.611,0.072,o
58961.32396,4.442,3.943,11.962,3.49122,18.663,0.075,o
58961.3297,4.442,3.943,11.963,3.49122,18.527,0.067,o
58961.34202,4.442,3.943,11.964,3.49122,18.754,0.082,o
58965.27249,4.435,3.991,12.319,3.44844,18.685,0.081,o
58965.27527,4.435,3.991,12.319,3.44844,18.637,0.079,o
58965.28126,4.435,3.991,12.319,3.44844,18.799,0.091,o
58965.29327,4.435,3.991,12.32,3.44844,18.638,0.094,o
58967.26615,4.431,4.015,12.477,3.42798,18.845,0.093,o
58967.27002,4.431,4.015,12.478,3.42798,18.922,0.099,o
58967.27551,4.431,4.015,12.478,3.42798,19.202,0.129,o
58967.28575,4.431,4.015,12.479,3.42798,18.735,0.082,o
58969.26285,4.427,4.04,12.622,3.40752,18.58,0.087,o
58969.26608,4.427,4.04,12.622,3.40752,18.575,0.086,o
58969.27586,4.427,4.04,12.623,3.40752,18.835,0.115,o
58969.28602,4.427,4.04,12.624,3.40752,18.813,0.105,o
58975.23296,4.416,4.116,12.971,3.34428,18.883,0.149,o
58975.24403,4.416,4.116,12.972,3.34428,19.968,0.401,o
58975.24953,4.416,4.117,12.972,3.34428,18.701,0.128,o
58975.25325,4.416,4.117,12.972,3.34428,18.747,0.134,o
58977.3308,4.412,4.144,13.065,3.32196,18.968,0.177,o
58977.3345,4.412,4.144,13.065,3.32196,18.824,0.156,o
58977.34095,4.412,4.144,13.065,3.32196,19.002,0.186,o
58977.35201,4.412,4.144,13.066,3.32196,18.524,0.126,o
58979.31245,4.408,4.169,13.14,3.3015,19.045,0.129,o
58979.31566,4.408,4.169,13.14,3.3015,18.88,0.114,o
58979.32116,4.408,4.169,13.14,3.3015,19.073,0.14,o
58979.33358,4.408,4.17,13.141,3.3015,18.741,0.113,o
58981.25711,4.404,4.195,13.201,3.28104,18.658,0.069,o
58981.26043,4.404,4.195,13.201,3.28104,18.726,0.072,o
58981.29177,4.404,4.195,13.202,3.28104,18.884,0.086,o
58981.30084,4.404,4.195,13.202,3.28104,18.748,0.079,o
58983.25189,4.4,4.221,13.251,3.26058,19.329,0.095,c
58983.25569,4.4,4.221,13.251,3.26058,19.261,0.089,c
58983.27351,4.4,4.221,13.251,3.26058,19.289,0.088,c
58983.28956,4.4,4.221,13.251,3.26058,19.35,0.094,c
58985.28614,4.397,4.248,13.288,3.24012,18.82,0.09,o
58985.28983,4.397,4.248,13.288,3.24012,19.185,0.125,o
58985.29767,4.397,4.248,13.288,3.24012,19.178,0.125,o
58985.31671,4.397,4.248,13.289,3.24012,18.61,0.078,o
58987.29474,4.393,4.274,13.313,3.21966,19.462,0.109,c
58987.29888,4.393,4.274,13.313,3.21966,19.352,0.1,c
58987.30577,4.393,4.274,13.313,3.21966,19.583,0.123,c
58987.31589,4.393,4.274,13.313,3.21966,19.376,0.104,c
58989.22645,4.389,4.3,13.324,3.20106,18.717,0.078,o
58989.23158,4.389,4.3,13.324,3.20106,18.718,0.077,o
58989.23481,4.389,4.3,13.324,3.20106,18.752,0.079,o
58989.245,4.389,4.3,13.324,3.20106,18.957,0.092,o
58989.24546,4.389,4.3,13.324,3.20106,18.635,0.071,o
58991.23354,4.385,4.326,13.324,3.18246,19.768,0.145,c
58991.23677,4.385,4.326,13.324,3.18246,19.658,0.13,c
58991.24187,4.385,4.326,13.324,3.18246,19.496,0.111,c
58991.25964,4.385,4.326,13.324,3.18246,19.288,0.092,c
58993.25606,4.381,4.352,13.312,3.162,18.945,0.087,o
58993.25975,4.381,4.352,13.312,3.162,18.845,0.082,o
58993.26577,4.381,4.353,13.312,3.162,18.936,0.089,o
58993.2949,4.381,4.353,13.311,3.162,18.863,0.084,o
58995.30319,4.377,4.379,13.287,3.1434,19.801,0.152,c
58995.30646,4.377,4.379,13.287,3.1434,19.548,0.122,c
58995.31202,4.377,4.379,13.287,3.1434,19.655,0.135,c
58995.32497,4.377,4.379,13.287,3.1434,19.494,0.121,c
58997.21925,4.373,4.404,13.253,3.1248,18.835,0.111,o
58997.22248,4.373,4.404,13.253,3.1248,18.862,0.109,o
58997.23102,4.373,4.404,13.253,3.1248,19.175,0.145,o
58997.25333,4.373,4.405,13.253,3.1248,18.807,0.117,o
59001.27363,4.365,4.456,13.148,3.08946,18.647,0.113,o
59001.27689,4.365,4.456,13.148,3.08946,18.937,0.148,o
59001.28242,4.365,4.456,13.148,3.08946,18.793,0.132,o
59001.29258,4.365,4.457,13.148,3.08946,18.774,0.134,o
59003.27576,4.361,4.482,13.08,3.07086,19.059,0.162,o
59003.27897,4.361,4.482,13.08,3.07086,19.133,0.176,o
59003.2845,4.361,4.482,13.08,3.07086,19.384,0.224,o
59003.29505,4.361,4.482,13.08,3.07086,18.936,0.164,o
59005.21879,4.358,4.506,13.005,3.05412,18.863,0.228,o
59005.22203,4.358,4.506,13.004,3.05412,19.115,0.233,o
59005.23876,4.358,4.507,13.004,3.05412,18.865,0.155,o
59007.22363,4.354,4.531,12.916,3.03738,19.072,0.272,o
59007.22869,4.354,4.532,12.916,3.03738,19.193,0.137,o
59007.23191,4.354,4.532,12.916,3.03738,19.226,0.126,o
59007.24202,4.354,4.532,12.916,3.03738,18.886,0.097,o
59009.2335,4.35,4.556,12.818,3.02064,19.353,0.186,o
59009.23903,4.35,4.556,12.818,3.02064,19.538,0.251,o
59013.238,4.342,4.605,12.594,2.98902,19.091,0.099,o
59013.2417,4.342,4.605,12.594,2.98902,19.103,0.1,o
59013.24733,4.342,4.605,12.593,2.98902,18.937,0.086,o
59013.25749,4.342,4.605,12.593,2.98902,18.921,0.087,o
59017.22648,4.334,4.652,12.334,2.95926,19.117,0.169,o
59017.23201,4.334,4.653,12.334,2.95926,18.877,0.11,o
59017.23572,4.334,4.653,12.334,2.95926,19.224,0.131,o
59017.2477,4.334,4.653,12.333,2.95926,19.071,0.13,o
59019.23892,4.33,4.676,12.19,2.94438,19.546,0.261,c
59033.22511,4.302,4.826,10.968,2.85138,19.147,0.228,o
59033.23064,4.302,4.827,10.967,2.85138,19.679,0.319,o
59033.24123,4.302,4.827,10.966,2.85138,19.209,0.213,o
59035.2334,4.298,4.846,10.763,2.84022,19.103,0.24,o
59035.26193,4.298,4.847,10.76,2.84022,19.061,0.264,o
59041.22149,4.285,4.902,10.117,2.8086,18.704,0.207,o
59041.22471,4.285,4.902,10.117,2.8086,18.906,0.175,o
59041.23208,4.285,4.902,10.116,2.8086,19.145,0.143,o
59190.61444,3.965,4.368,12.399,3.15084,18.446,0.087,o
59190.61858,3.965,4.368,12.399,3.15084,18.663,0.105,o
59190.62643,3.965,4.368,12.4,3.15084,18.449,0.088,o
59190.63548,3.965,4.368,12.401,3.15084,18.649,0.137,o
59204.6182,3.934,4.144,13.672,3.32196,18.819,0.066,c
59204.62238,3.934,4.144,13.673,3.32196,18.921,0.072,c
59204.62983,3.934,4.143,13.673,3.32196,18.686,0.061,c
59204.6386,3.934,4.143,13.674,3.32196,18.895,0.097,c
59206.57837,3.929,4.111,13.815,3.348,19.18,0.094,c
59206.58802,3.929,4.111,13.816,3.348,18.784,0.067,c
59206.5903,3.929,4.111,13.816,3.348,18.624,0.06,c
59206.59371,3.929,4.111,13.816,3.348,18.804,0.069,c
59206.59784,3.929,4.111,13.816,3.348,18.987,0.078,c
59206.59921,3.929,4.111,13.817,3.348,18.767,0.066,c
59206.62034,3.929,4.11,13.818,3.348,18.782,0.065,c
59216.59746,3.907,3.941,14.389,3.49308,18.392,0.093,o
59216.60069,3.907,3.941,14.389,3.49308,18.112,0.073,o
59216.60948,3.907,3.941,14.389,3.49308,18.298,0.084,o
59216.62893,3.907,3.94,14.39,3.49308,18.589,0.104,o
59218.59474,3.902,3.907,14.47,3.52284,18.125,0.075,o
59218.59844,3.902,3.907,14.47,3.52284,18.138,0.075,o
59218.60395,3.902,3.906,14.47,3.52284,18.173,0.077,o
59218.63096,3.902,3.906,14.471,3.5247,18.098,0.071,o
59222.62079,3.893,3.837,14.596,3.58794,18.188,0.055,o
59222.64134,3.893,3.837,14.596,3.58794,18.113,0.054,o
59222.64684,3.893,3.837,14.597,3.58794,18.144,0.068,o
59222.64959,3.893,3.836,14.597,3.58794,18.063,0.077,o
59224.58834,3.889,3.803,14.639,3.61956,18.518,0.052,c
59224.59341,3.889,3.803,14.639,3.61956,18.471,0.05,c
59224.59664,3.889,3.803,14.639,3.61956,18.478,0.05,c
59224.61186,3.889,3.802,14.639,3.61956,18.766,0.063,c
59226.59447,3.884,3.768,14.669,3.65304,18.465,0.049,c
59226.5977,3.884,3.768,14.67,3.65304,18.426,0.048,c
59226.60778,3.884,3.768,14.67,3.65304,18.338,0.045,c
59226.61689,3.884,3.768,14.67,3.65304,18.359,0.045,c
59228.57051,3.88,3.734,14.686,3.68652,18.444,0.047,c
59228.57098,3.88,3.734,14.686,3.68652,18.522,0.051,c
59228.57421,3.88,3.734,14.686,3.68652,18.534,0.05,c
59228.57467,3.88,3.734,14.686,3.68652,18.711,0.059,c
59228.58207,3.88,3.734,14.686,3.68652,18.626,0.054,c
59228.59315,3.88,3.733,14.686,3.68652,18.417,0.046,c
59228.59407,3.88,3.733,14.686,3.68652,18.402,0.046,c
59230.55284,3.875,3.699,14.689,3.72,18.335,0.045,c
59230.55605,3.875,3.699,14.689,3.72,18.441,0.049,c
59230.56155,3.875,3.699,14.689,3.72186,18.433,0.049,c
59230.57212,3.875,3.699,14.689,3.72186,18.316,0.044,c
59232.58093,3.871,3.664,14.678,3.7572,18.431,0.052,c
59232.58461,3.871,3.664,14.678,3.7572,18.457,0.054,c
59232.59013,3.871,3.664,14.678,3.7572,18.372,0.051,c
59232.60566,3.871,3.664,14.678,3.7572,18.278,0.048,c
59234.59133,3.866,3.629,14.652,3.79254,18.504,0.142,c
59234.59456,3.866,3.629,14.652,3.79254,18.237,0.053,c
59244.51367,3.844,3.461,14.296,3.97668,17.667,0.064,o
59244.51551,3.844,3.46,14.296,3.97854,17.539,0.057,o
59244.51827,3.844,3.46,14.296,3.97854,17.673,0.064,o
59244.52748,3.844,3.46,14.296,3.97854,17.753,0.067,o
59252.62606,3.826,3.327,13.706,4.13664,17.547,0.032,o
59252.63021,3.826,3.327,13.706,4.13664,17.568,0.032,o
59252.64035,3.826,3.327,13.705,4.13664,17.514,0.032,o
59252.64581,3.826,3.327,13.704,4.13664,17.457,0.036,o
59256.5279,3.817,3.265,13.319,4.21476,17.932,0.034,c
59256.53159,3.817,3.265,13.319,4.21476,17.856,0.032,c
59256.53485,3.817,3.265,13.319,4.21476,17.888,0.032,c
59256.55212,3.817,3.265,13.317,4.21662,17.865,0.031,c
59258.49734,3.813,3.235,13.098,4.25568,17.89,0.035,c
59258.50057,3.813,3.235,13.098,4.25568,17.97,0.037,c
59258.50332,3.813,3.235,13.098,4.25568,18.019,0.039,c
59258.51157,3.812,3.234,13.097,4.25568,17.911,0.035,c
59260.50705,3.808,3.204,12.855,4.2966,17.696,0.029,c
59260.51027,3.808,3.204,12.854,4.2966,17.905,0.034,c
59260.51583,3.808,3.204,12.854,4.2966,17.902,0.034,c
59260.53185,3.808,3.204,12.852,4.2966,17.75,0.03,c
59262.52054,3.803,3.174,12.592,4.33752,17.689,0.041,c
59262.52421,3.803,3.174,12.592,4.33752,17.686,0.044,c
59262.54412,3.803,3.173,12.589,4.33752,17.788,0.041,c
59262.54915,3.803,3.173,12.588,4.33752,17.721,0.031,c
59264.64231,3.799,3.143,12.295,4.3803,17.552,0.033,c
59264.64646,3.799,3.143,12.295,4.3803,17.544,0.048,c
59268.49922,3.79,3.088,11.704,4.45842,17.118,0.03,o
59268.50247,3.79,3.088,11.703,4.45842,17.168,0.031,o
59268.50754,3.79,3.088,11.702,4.45842,17.116,0.03,o
59268.51446,3.79,3.088,11.701,4.45842,17.077,0.029,o
59270.50558,3.785,3.06,11.369,4.49748,17.066,0.039,o
59270.50879,3.785,3.06,11.369,4.49748,17.021,0.037,o
59270.51244,3.785,3.06,11.368,4.49748,17.075,0.039,o
59270.51748,3.785,3.06,11.367,4.49748,17.006,0.036,o
59272.50721,3.781,3.034,11.018,4.53654,16.996,0.047,o
59272.51397,3.781,3.033,11.017,4.5384,17.012,0.047,o
59272.51627,3.781,3.033,11.016,4.5384,16.983,0.045,o
59272.52134,3.781,3.033,11.015,4.5384,17.069,0.049,o
59278.52809,3.767,2.958,9.855,4.65372,17.001,0.052,o
59278.53098,3.767,2.958,9.855,4.65372,16.914,0.055,o
59278.56621,3.767,2.957,9.848,4.65372,16.788,0.037,o
59278.57157,3.767,2.957,9.846,4.65372,16.903,0.054,o
59280.46485,3.763,2.935,9.449,4.68906,16.858,0.023,o
59280.49368,3.763,2.935,9.443,4.69092,16.872,0.024,o
59280.49692,3.763,2.935,9.442,4.69092,16.82,0.023,o
59280.50015,3.763,2.935,9.441,4.69092,16.86,0.023,o
59288.45477,3.745,2.85,7.62,4.82856,16.791,0.021,o
59288.46029,3.745,2.85,7.619,4.83042,16.663,0.02,o
59288.46769,3.745,2.85,7.617,4.83042,16.718,0.02,o
59288.47092,3.745,2.85,7.616,4.83042,16.785,0.02,o
59288.47645,3.745,2.85,7.615,4.83042,16.732,0.02,o
59288.48198,3.745,2.85,7.614,4.83042,16.695,0.019,o
59292.42249,3.736,2.814,6.635,4.8918,16.657,0.02,o
59292.42619,3.736,2.814,6.634,4.8918,16.616,0.019,o
59292.43266,3.736,2.814,6.633,4.8918,16.612,0.019,o
59292.46444,3.736,2.813,6.625,4.8918,16.566,0.019,o
59304.48392,3.709,2.73,3.536,5.04246,16.215,0.027,o
59304.48779,3.709,2.73,3.535,5.04246,16.108,0.029,o
59304.50524,3.709,2.729,3.531,5.04246,16.212,0.03,o
59304.51799,3.709,2.729,3.528,5.04246,16.125,0.03,o
59306.45884,3.705,2.72,3.07,5.06106,16.204,0.021,o
59306.46249,3.705,2.72,3.069,5.06106,16.235,0.021,o
59306.46889,3.705,2.72,3.067,5.06106,16.268,0.022,o
59306.48103,3.705,2.72,3.065,5.06106,16.261,0.022,o
59308.42689,3.7,2.711,2.652,5.0778,16.558,0.023,c
59308.4478,3.7,2.711,2.648,5.0778,16.59,0.023,c
59308.45055,3.7,2.711,2.648,5.0778,16.558,0.026,c
59308.45578,3.7,2.711,2.647,5.0778,16.566,0.024,c
59312.43129,3.691,2.697,2.095,5.10384,16.369,0.025,c
59312.43514,3.691,2.697,2.095,5.10384,16.388,0.023,c
59312.46655,3.691,2.697,2.093,5.10384,16.38,0.024,c
59312.47393,3.691,2.697,2.092,5.10384,16.388,0.024,c
59322.36477,3.669,2.682,3.326,5.13174,16.031,0.016,o
59322.36843,3.669,2.682,3.327,5.13174,16.05,0.016,o
59322.37163,3.669,2.682,3.328,5.13174,16.039,0.017,o
59322.38159,3.669,2.682,3.33,5.13174,16.023,0.016,o
59324.36622,3.665,2.682,3.832,5.13174,16.032,0.016,o
59324.36944,3.665,2.682,3.833,5.13174,16.005,0.017,o
59324.37268,3.665,2.682,3.834,5.13174,16.006,0.017,o
59324.37776,3.665,2.682,3.835,5.13174,15.932,0.017,o
59326.35557,3.66,2.684,4.36,5.12802,16.089,0.021,o
59326.35786,3.66,2.684,4.36,5.12802,16.087,0.022,o
59326.36337,3.66,2.684,4.362,5.12802,16.045,0.02,o
59326.37521,3.66,2.684,4.365,5.12802,16.075,0.02,o
59332.43676,3.647,2.696,6.029,5.1057,16.04,0.024,o
59332.44368,3.647,2.696,6.031,5.1057,16.028,0.024,o
59332.44783,3.647,2.696,6.032,5.1057,16.039,0.025,o
59332.46017,3.647,2.696,6.035,5.1057,16.062,0.026,o
59334.41657,3.643,2.702,6.573,5.09454,16.058,0.02,o
59334.41977,3.643,2.702,6.574,5.09454,16.063,0.019,o
59334.42682,3.643,2.702,6.576,5.09454,16.053,0.02,o
59334.44446,3.643,2.702,6.581,5.09454,16.077,0.021,o
59336.41353,3.638,2.709,7.118,5.08152,16.203,0.017,o
59336.41721,3.638,2.709,7.119,5.08152,16.199,0.017,o
59336.42388,3.638,2.709,7.121,5.08152,16.275,0.019,o
59336.43392,3.638,2.709,7.124,5.08152,16.162,0.018,o
59338.45087,3.634,2.717,7.667,5.06664,16.514,0.039,c
59338.45501,3.634,2.717,7.668,5.06664,16.506,0.019,c
59338.47269,3.634,2.717,7.673,5.06478,16.492,0.023,c
59338.48043,3.634,2.717,7.675,5.06478,16.517,0.032,c
59342.39074,3.625,2.736,8.701,5.0313,16.545,0.017,c
59342.39441,3.625,2.736,8.702,5.0313,16.547,0.017,c
59342.39995,3.625,2.736,8.704,5.0313,16.581,0.018,c
59342.41197,3.625,2.736,8.707,5.0313,16.55,0.017,c
59344.35792,3.621,2.747,9.202,5.01084,16.195,0.016,o
59344.36161,3.621,2.747,9.202,5.01084,16.135,0.015,o
59346.3497,3.616,2.759,9.696,4.98852,16.588,0.017,c
59346.3529,3.616,2.759,9.696,4.98852,16.575,0.017,c
59346.35997,3.616,2.759,9.698,4.98852,16.574,0.017,c
59346.39424,3.616,2.759,9.707,4.98852,16.53,0.017,c
59348.32805,3.612,2.771,10.173,4.9662,16.145,0.017,o
59348.33174,3.612,2.772,10.174,4.9662,16.118,0.016,o
59348.33914,3.612,2.772,10.176,4.9662,16.135,0.016,o
59348.35024,3.612,2.772,10.178,4.9662,16.138,0.016,o
59350.39879,3.607,2.786,10.658,4.94202,16.672,0.02,c
59350.40199,3.607,2.786,10.658,4.94202,16.617,0.019,c
59350.42275,3.607,2.786,10.663,4.94016,16.686,0.02,c
59350.43057,3.607,2.786,10.665,4.94016,16.668,0.02,c
59352.33883,3.603,2.8,11.097,4.91598,16.191,0.018,o
59352.34209,3.603,2.8,11.097,4.91598,16.172,0.017,o
59352.34946,3.603,2.8,11.099,4.91598,16.164,0.017,o
59352.35961,3.603,2.8,11.101,4.91598,16.183,0.017,o
59353.31706,3.601,2.807,11.313,4.90296,16.153,0.018,o
59353.32026,3.601,2.807,11.313,4.90296,16.179,0.018,o
59353.32669,3.601,2.807,11.315,4.90296,16.188,0.019,o
59353.36056,3.601,2.807,11.322,4.90296,16.182,0.019,o
59354.34787,3.599,2.815,11.536,4.88994,16.17,0.02,o
59354.34833,3.599,2.815,11.536,4.88994,16.267,0.021,o
59354.35795,3.599,2.815,11.538,4.88994,16.185,0.021,o
59354.3584,3.599,2.815,11.538,4.88994,16.258,0.02,o
59354.37963,3.599,2.815,11.543,4.88994,16.166,0.021,o
59354.38009,3.599,2.815,11.543,4.88994,16.262,0.021,o
59354.38522,3.599,2.815,11.544,4.88994,16.174,0.021,o
59354.38568,3.599,2.815,11.544,4.88994,16.269,0.021,o
59360.39706,3.586,2.865,12.758,4.80438,16.282,0.028,o
59360.40029,3.586,2.866,12.758,4.80438,16.28,0.027,o
59360.40583,3.586,2.866,12.759,4.80438,16.244,0.024,o
59360.41874,3.586,2.866,12.762,4.80252,16.246,0.021,o
59362.36571,3.581,2.883,13.122,4.77462,16.228,0.024,o
59362.36944,3.581,2.883,13.122,4.77462,16.235,0.024,o
59362.37591,3.581,2.883,13.123,4.77462,16.24,0.024,o
59362.38694,3.581,2.883,13.125,4.77462,16.259,0.025,o
59364.31401,3.577,2.901,13.465,4.74486,16.258,0.017,o
59364.31815,3.577,2.901,13.466,4.74486,16.283,0.017,o
59364.32369,3.577,2.901,13.467,4.74486,16.348,0.017,o
59364.33708,3.577,2.902,13.469,4.743,16.347,0.017,o
59366.35009,3.573,2.921,13.807,4.71324,16.259,0.018,o
59366.35422,3.573,2.921,13.808,4.71324,16.247,0.018,o
59366.35974,3.573,2.921,13.809,4.71324,16.336,0.018,o
59366.38637,3.573,2.921,13.813,4.71138,16.286,0.018,o
59368.35543,3.568,2.941,14.126,4.68162,16.689,0.019,c
59368.35865,3.568,2.941,14.126,4.68162,16.71,0.019,c
59368.39402,3.568,2.941,14.132,4.67976,16.746,0.02,c
59368.40094,3.568,2.941,14.133,4.67976,16.7,0.02,c
59370.30554,3.564,2.96,14.418,4.65,16.388,0.018,o
59370.31106,3.564,2.96,14.419,4.65,16.407,0.018,o
59370.31522,3.564,2.961,14.42,4.65,16.376,0.018,o
59370.32542,3.564,2.961,14.421,4.65,16.391,0.018,o
59372.30267,3.56,2.981,14.701,4.61652,16.75,0.021,c
59372.30635,3.56,2.981,14.701,4.61652,16.742,0.02,c
59372.31194,3.56,2.981,14.702,4.61652,16.736,0.02,c
59372.32305,3.56,2.981,14.703,4.61652,16.751,0.021,c
59374.29684,3.555,3.002,14.965,4.5849,16.432,0.018,o
59374.30096,3.555,3.002,14.965,4.5849,16.414,0.018,o
59374.30649,3.555,3.002,14.966,4.5849,16.378,0.018,o
59374.3175,3.555,3.002,14.967,4.5849,16.399,0.018,o
59376.30745,3.551,3.024,15.213,4.55142,16.753,0.018,c
