mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59432.58728,2.147,1.21,13.904,11.37204,19.197,0.233,c
59438.47061,2.098,1.133,11.545,12.14952,19.643,0.493,o
59444.4573,2.048,1.062,8.907,12.96606,18.622,0.313,o
59454.39449,1.964,0.961,5.009,14.32758,18.187,0.214,o
59454.42382,1.963,0.96,5.002,14.3313,18.14,0.215,o
59456.38705,1.947,0.943,4.708,14.59356,18.829,0.29,o
59456.38992,1.947,0.943,4.708,14.59356,18.459,0.206,o
59456.39314,1.947,0.943,4.708,14.59356,18.851,0.293,o
59456.41986,1.947,0.943,4.706,14.59728,18.607,0.251,o
59460.37755,1.913,0.911,5.149,15.10878,17.757,0.118,o
59460.37986,1.913,0.911,5.15,15.10878,17.743,0.117,o
59460.38308,1.913,0.911,5.151,15.10878,17.755,0.119,o
59460.38815,1.913,0.911,5.152,15.10878,17.754,0.118,o
59462.38588,1.896,0.896,5.865,15.35616,19.382,0.397,c
59464.44168,1.878,0.882,6.84,15.60168,17.68,0.121,o
59464.44455,1.878,0.882,6.841,15.60354,18.097,0.18,o
59464.45082,1.878,0.882,6.845,15.60354,17.974,0.16,o
59464.48594,1.878,0.882,6.863,15.60726,17.97,0.162,o
59466.40685,1.861,0.87,7.93,15.8286,18.06,0.132,c
59466.41834,1.861,0.87,7.937,15.8286,17.907,0.116,c
59466.45371,1.861,0.869,7.957,15.83232,18.635,0.221,c
59470.41833,1.827,0.847,10.45,16.25454,18.47,0.192,c
59470.42202,1.827,0.847,10.453,16.2564,18.242,0.157,c
59470.42757,1.827,0.847,10.456,16.2564,18.181,0.149,c
59470.45785,1.827,0.847,10.476,16.26012,18.482,0.202,c
59480.43089,1.741,0.805,17.479,17.10456,17.36,0.167,o
59480.43414,1.741,0.805,17.481,17.10456,17.394,0.174,o
59480.4406,1.741,0.805,17.486,17.10642,17.514,0.192,o
59481.34907,1.733,0.802,18.142,17.16594,18.405,0.365,o
59481.35458,1.733,0.802,18.146,17.16594,17.725,0.197,o
59481.36467,1.733,0.802,18.153,17.1678,17.343,0.142,o
59484.38739,1.708,0.793,20.334,17.34822,17.925,0.191,o
59484.39019,1.707,0.793,20.336,17.35008,17.879,0.183,o
59484.39526,1.707,0.793,20.34,17.35008,17.494,0.129,o
59484.40865,1.707,0.793,20.349,17.35008,17.566,0.138,o
59485.34878,1.699,0.791,21.025,17.4003,17.497,0.113,o
59485.35746,1.699,0.791,21.031,17.4003,17.423,0.106,o
59485.37028,1.699,0.791,21.041,17.40216,17.317,0.099,o
59486.34564,1.691,0.789,21.74,17.45052,17.522,0.113,o
59486.3493,1.691,0.789,21.742,17.45052,17.795,0.145,o
59486.3562,1.691,0.789,21.747,17.45052,17.385,0.101,o
59486.39137,1.69,0.789,21.772,17.45238,17.388,0.108,o
59488.3593,1.674,0.785,23.174,17.54352,17.625,0.142,o
59489.35021,1.665,0.783,23.875,17.58258,17.473,0.115,o
59489.37035,1.665,0.783,23.889,17.58444,17.624,0.125,o
59490.36149,1.657,0.781,24.586,17.62164,17.009,0.08,o
59490.36836,1.657,0.781,24.591,17.62164,17.095,0.086,o
59490.38165,1.656,0.781,24.6,17.6235,16.934,0.078,o
59493.32961,1.631,0.777,26.644,17.71836,17.845,0.172,o
59493.33286,1.631,0.777,26.646,17.71836,18.269,0.253,o
59493.33884,1.631,0.777,26.65,17.71836,17.201,0.095,o
59493.3531,1.631,0.777,26.66,17.71836,18.085,0.211,o
59494.33922,1.623,0.776,27.333,17.74626,17.82,0.172,o
59496.28084,1.606,0.774,28.641,17.79276,18.332,0.279,o
59496.28638,1.606,0.774,28.644,17.79276,17.464,0.138,o
59498.33393,1.589,0.772,29.997,17.83182,18.089,0.237,o
59498.33484,1.589,0.772,29.998,17.83182,16.547,0.06,o
59498.34174,1.589,0.772,30.003,17.83182,17.637,0.154,o
59501.28059,1.564,0.77,31.894,17.8746,17.53,0.25,o
59506.33641,1.522,0.768,35.003,17.91924,17.366,0.237,o
59506.33963,1.522,0.768,35.005,17.91924,16.964,0.165,o
59506.34607,1.522,0.768,35.009,17.91924,17.253,0.219,o
59508.32478,1.506,0.768,36.175,17.92854,16.811,0.117,o
59508.33492,1.506,0.768,36.181,17.92854,17.1,0.158,o
59509.30473,1.498,0.768,36.742,17.93226,16.809,0.113,o
59509.31072,1.498,0.768,36.745,17.93226,17.024,0.139,o
59510.27962,1.49,0.767,37.298,17.93412,17.235,0.151,o
59510.29981,1.49,0.767,37.31,17.93412,16.9,0.115,o
59510.3159,1.49,0.767,37.319,17.93412,18.284,0.416,o
59512.30363,1.473,0.767,38.432,17.9397,17.073,0.102,o
59512.32078,1.473,0.767,38.442,17.9397,16.951,0.095,o
59512.32358,1.473,0.767,38.444,17.9397,16.975,0.098,o
59512.3291,1.473,0.767,38.447,17.9397,16.83,0.088,o
59512.3393,1.473,0.767,38.452,17.9397,17.189,0.124,o
59513.28601,1.466,0.767,38.972,17.94156,16.856,0.054,c
59513.30161,1.465,0.767,38.981,17.94156,16.825,0.053,c
59516.30772,1.441,0.767,40.589,17.94528,17.067,0.104,o
59516.32065,1.441,0.767,40.596,17.94528,17.191,0.113,o
59518.28505,1.426,0.767,41.613,17.94714,16.704,0.049,c
59520.29304,1.41,0.767,42.625,17.95086,16.125,0.039,o
59520.29719,1.41,0.767,42.627,17.95086,16.655,0.062,o
59520.30272,1.41,0.767,42.63,17.95086,16.841,0.073,o
59520.31286,1.41,0.767,42.635,17.95086,17.383,0.12,o
59522.29355,1.394,0.767,43.607,17.95644,16.193,0.038,c
59522.29724,1.394,0.767,43.609,17.95644,16.085,0.036,c
59522.30367,1.394,0.767,43.612,17.95644,16.053,0.035,c
59522.31566,1.394,0.767,43.618,17.95644,16.111,0.036,c
59524.26259,1.379,0.766,44.548,17.96202,16.703,0.059,o
59524.26859,1.379,0.766,44.551,17.96202,16.703,0.062,o
59524.27877,1.379,0.766,44.556,17.96202,16.604,0.054,o
59526.25723,1.364,0.766,45.476,17.97132,17.256,0.083,c
59526.27611,1.364,0.766,45.485,17.97318,17.426,0.096,c
59528.30217,1.348,0.765,46.403,17.9862,16.811,0.104,o
59528.3054,1.348,0.765,46.405,17.9862,16.475,0.074,o
59528.31094,1.348,0.765,46.407,17.9862,16.304,0.066,o
59532.25305,1.319,0.764,48.128,18.0234,15.869,0.053,o
59532.26241,1.319,0.764,48.132,18.0234,16.047,0.062,o
59538.33597,1.276,0.76,50.63,18.12012,15.919,0.068,o
59538.33918,1.276,0.76,50.631,18.12012,16.188,0.087,o
59538.34608,1.276,0.76,50.634,18.12012,15.938,0.073,o
59538.35619,1.276,0.76,50.638,18.12012,16.084,0.088,o
59542.24131,1.25,0.756,52.147,18.20754,15.854,0.034,o
59542.24452,1.25,0.756,52.149,18.20754,15.892,0.035,o
59542.25048,1.25,0.756,52.151,18.2094,15.772,0.032,o
59542.26106,1.25,0.756,52.155,18.2094,15.818,0.033,o
59544.27691,1.237,0.754,52.912,18.26334,15.649,0.027,o
59544.28013,1.237,0.754,52.913,18.26334,15.617,0.027,o
59544.28708,1.237,0.754,52.916,18.26334,15.708,0.029,o
59544.29768,1.237,0.754,52.92,18.26334,15.649,0.029,o
59546.26138,1.225,0.751,53.641,18.32286,15.346,0.025,o
59546.26688,1.225,0.751,53.643,18.32286,15.16,0.022,o
59546.27101,1.225,0.751,53.645,18.32286,15.413,0.026,o
59546.28158,1.225,0.751,53.648,18.32286,15.43,0.026,o
59550.27969,1.2,0.746,55.067,18.46236,15.27,0.053,o
59550.28383,1.2,0.746,55.068,18.46236,15.436,0.075,o
59552.3042,1.189,0.742,55.759,18.54234,15.277,0.06,o
59560.26206,1.148,0.728,58.301,18.91992,14.713,0.021,o
59560.26529,1.148,0.727,58.302,18.91992,14.734,0.022,o
59560.27131,1.148,0.727,58.304,18.91992,14.664,0.021,o
59560.28243,1.148,0.727,58.307,18.92178,14.678,0.022,o
59564.22388,1.13,0.719,59.452,19.14498,14.401,0.037,o
59564.22809,1.13,0.719,59.454,19.14498,14.193,0.084,o
59564.23322,1.13,0.719,59.455,19.14684,14.369,0.054,o
59564.2449,1.13,0.719,59.458,19.14684,14.33,0.028,o
59584.23763,1.077,0.671,63.603,20.5158,12.899,0.009,o
59584.24177,1.077,0.671,63.604,20.5158,12.897,0.008,o
59584.2478,1.077,0.671,63.605,20.51766,12.904,0.01,o
59584.25979,1.077,0.671,63.606,20.51766,12.901,0.009,o
59586.21316,1.075,0.666,63.807,20.65344,12.824,0.015,o
59586.21637,1.075,0.666,63.807,20.6553,12.825,0.015,o
59586.22371,1.075,0.666,63.808,20.6553,12.821,0.014,o
59586.25112,1.075,0.666,63.811,20.65716,12.831,0.015,o
59590.2206,1.073,0.658,64.075,20.92128,12.685,0.069,o
59590.22426,1.073,0.658,64.076,20.92128,12.685,0.015,o
59590.23114,1.073,0.658,64.076,20.92128,12.67,0.015,o
59590.24134,1.073,0.658,64.076,20.92314,12.668,0.015,o
59592.26725,1.073,0.654,64.134,21.04776,12.582,0.011,o
59592.27096,1.073,0.654,64.134,21.04776,12.582,0.011,o
59592.2765,1.073,0.654,64.134,21.04776,12.58,0.011,o
59592.28669,1.073,0.654,64.134,21.04776,12.582,0.011,o
59596.22651,1.076,0.647,64.087,21.26352,12.484,0.011,o
59596.22974,1.076,0.647,64.086,21.26352,12.471,0.011,o
59596.23711,1.076,0.647,64.086,21.26352,12.473,0.011,o
59596.24728,1.076,0.647,64.086,21.26352,12.474,0.011,o
59598.79271,1.079,0.644,63.941,21.37884,12.491,0.017,o
59598.796,1.079,0.644,63.94,21.37884,12.475,0.014,o
59598.80643,1.079,0.644,63.94,21.37884,12.463,0.019,o
59600.26362,1.081,0.642,63.815,21.43278,12.438,0.01,o
59600.26686,1.081,0.642,63.815,21.43278,12.439,0.009,o
59600.27241,1.081,0.642,63.814,21.43464,12.439,0.01,o
59600.2849,1.081,0.642,63.813,21.43464,12.436,0.01,o
59604.2261,1.089,0.639,63.326,21.53694,12.451,0.01,o
59604.23164,1.089,0.639,63.325,21.53694,12.455,0.01,o
59604.23579,1.089,0.639,63.325,21.53694,12.453,0.01,o
59604.24694,1.089,0.639,63.323,21.53694,12.456,0.01,o
59605.03318,1.091,0.639,63.2,21.5481,12.455,0.02,o
59605.03646,1.091,0.639,63.199,21.5481,12.464,0.022,o
59605.04161,1.091,0.639,63.198,21.5481,12.455,0.013,o
59605.05469,1.091,0.639,63.196,21.5481,12.459,0.013,o
59614.23233,1.119,0.642,61.159,21.42906,12.576,0.01,o
59627.03085,1.178,0.675,56.922,20.40234,12.808,0.017,o
59627.03588,1.178,0.675,56.92,20.40234,12.821,0.017,o
59627.04548,1.179,0.675,56.917,20.40048,12.824,0.019,o
59627.31342,1.18,0.676,56.818,20.36886,12.884,0.016,o
59627.32581,1.18,0.676,56.813,20.367,12.898,0.016,o
59627.33223,1.18,0.676,56.811,20.367,12.879,0.016,o
59627.34235,1.18,0.676,56.807,20.36514,12.9,0.017,o
59628.29976,1.185,0.68,56.451,20.24796,12.979,0.014,o
59628.30527,1.185,0.68,56.449,20.24796,12.967,0.012,o
59628.3172,1.185,0.68,56.444,20.2461,12.975,0.013,o
59628.32455,1.186,0.68,56.441,20.2461,12.964,0.012,o
59628.76171,1.188,0.682,56.278,20.1903,12.964,0.016,o
59628.76444,1.188,0.682,56.277,20.1903,12.966,0.016,o
59628.77128,1.188,0.682,56.274,20.18844,12.957,0.015,o
59628.78228,1.188,0.682,56.27,20.18844,12.968,0.014,o
59630.27775,1.197,0.689,55.707,19.99128,12.97,0.01,o
59630.28141,1.197,0.689,55.705,19.99128,12.967,0.01,o
59630.28918,1.197,0.689,55.702,19.98942,12.975,0.01,o
59630.30149,1.197,0.689,55.698,19.98756,12.96,0.011,o
59631.01181,1.201,0.692,55.428,19.89084,12.967,0.018,o
59631.01455,1.201,0.692,55.427,19.89084,12.968,0.017,o
59631.02138,1.201,0.692,55.425,19.88898,12.972,0.016,o
59631.03232,1.201,0.692,55.421,19.88712,12.979,0.015,o
59639.84293,1.256,0.744,52.067,18.51258,13.31,0.035,o
59640.84081,1.262,0.75,51.692,18.34146,13.308,0.025,o
59651.31379,1.336,0.836,47.934,16.461,13.664,0.016,o
59651.32732,1.336,0.836,47.929,16.45914,13.67,0.017,o
59651.33069,1.336,0.836,47.928,16.45914,13.674,0.017,o
59651.33639,1.336,0.836,47.926,16.45728,13.632,0.017,o
59653.27928,1.351,0.855,47.274,16.10202,13.822,0.021,o
59653.28249,1.351,0.855,47.273,16.10202,13.768,0.019,o
59653.28891,1.351,0.855,47.271,16.10016,13.803,0.018,o
59653.30176,1.351,0.855,47.267,16.0983,13.79,0.017,o
59654.2328,1.358,0.864,46.96,15.92904,13.812,0.03,o
59654.23602,1.358,0.864,46.959,15.92904,13.823,0.018,o
59654.26092,1.358,0.864,46.951,15.92346,13.864,0.016,o
59654.26413,1.358,0.864,46.95,15.92346,13.83,0.016,o
59654.27006,1.358,0.864,46.948,15.92346,13.811,0.015,o
59654.28651,1.358,0.865,46.942,15.91974,13.819,0.017,o
59655.00336,1.364,0.872,46.709,15.78954,13.83,0.019,o
59655.00711,1.364,0.872,46.708,15.78954,13.863,0.019,o
59655.01452,1.364,0.872,46.705,15.78768,13.841,0.019,o
59655.02542,1.364,0.872,46.702,15.78582,13.851,0.021,o
59655.27535,1.366,0.874,46.621,15.74118,13.855,0.017,o
59655.29822,1.366,0.875,46.613,15.7356,13.824,0.018,o
59655.3154,1.366,0.875,46.608,15.73374,13.838,0.018,o
59655.31814,1.366,0.875,46.607,15.73188,13.849,0.018,o
59656.2788,1.374,0.885,46.299,15.5589,13.917,0.017,o
59656.28932,1.374,0.885,46.295,15.55704,13.916,0.025,o
59656.29252,1.374,0.885,46.294,15.55704,13.929,0.021,o
59656.30034,1.374,0.885,46.292,15.55518,14.062,0.031,o
59657.22866,1.381,0.894,45.998,15.38778,13.94,0.017,o
59657.23239,1.381,0.895,45.997,15.38778,13.951,0.017,o
59657.23791,1.381,0.895,45.995,15.38592,13.96,0.018,o
59657.24895,1.381,0.895,45.992,15.38406,13.979,0.017,o
59658.24831,1.389,0.905,45.679,15.2055,14.018,0.017,o
59658.25242,1.389,0.905,45.678,15.2055,14.001,0.016,o
59658.25973,1.389,0.905,45.676,15.20364,14.009,0.016,o
59658.2708,1.389,0.905,45.672,15.20178,14.007,0.016,o
59659.0233,1.395,0.914,45.44,15.06786,14.048,0.016,o
59659.02691,1.395,0.914,45.439,15.06786,14.045,0.016,o
59659.03204,1.395,0.914,45.437,15.066,14.024,0.016,o
59659.04263,1.395,0.914,45.434,15.06414,14.049,0.018,o
59659.3427,1.397,0.917,45.342,15.01206,14.023,0.017,o
59659.36101,1.397,0.917,45.336,15.00834,14.038,0.019,o
59659.38607,1.398,0.917,45.329,15.00276,14.126,0.023,o
59660.27129,1.404,0.927,45.06,14.84652,14.122,0.018,o
59660.27816,1.404,0.927,45.058,14.84652,14.129,0.017,o
59660.28373,1.405,0.927,45.056,14.84466,14.109,0.017,o
59660.30348,1.405,0.927,45.05,14.84094,14.136,0.017,o
59663.25197,1.428,0.961,44.178,14.32944,14.282,0.028,o
59663.27793,1.428,0.961,44.17,14.32386,14.267,0.016,o
59663.29637,1.428,0.961,44.165,14.32014,14.247,0.016,o
59663.31209,1.428,0.961,44.161,14.31828,14.246,0.016,o
59666.28038,1.452,0.996,43.317,13.81608,14.551,0.03,c
59666.28586,1.452,0.996,43.316,13.81422,14.58,0.028,c
59666.28909,1.452,0.996,43.315,13.81422,14.548,0.029,c
59677.22493,1.542,1.137,40.464,12.10116,14.984,0.051,c
59677.22813,1.542,1.137,40.463,12.10116,15.057,0.055,c
59677.23367,1.542,1.138,40.462,12.0993,15.069,0.042,c
59677.24558,1.542,1.138,40.459,12.09744,15.102,0.088,c
59680.23194,1.567,1.179,39.74,11.6715,15.332,0.035,c
59680.23745,1.567,1.179,39.739,11.6715,15.167,0.033,c
59680.24112,1.567,1.179,39.738,11.6715,15.199,0.034,c
59680.25308,1.567,1.18,39.735,11.66964,15.126,0.032,c
59680.2853,1.567,1.18,39.728,11.66406,15.066,0.021,o
59680.29934,1.567,1.18,39.724,11.6622,15.024,0.021,o
59680.30571,1.567,1.18,39.723,11.6622,15.041,0.021,o
59681.23283,1.575,1.193,39.504,11.53386,15.437,0.035,c
59681.23648,1.575,1.193,39.504,11.53386,15.427,0.035,c
59681.23968,1.575,1.194,39.503,11.532,15.391,0.035,c
59681.24334,1.575,1.194,39.502,11.532,15.304,0.034,c
59681.2438,1.575,1.194,39.502,11.532,15.359,0.035,c
59681.24932,1.575,1.194,39.501,11.532,15.478,0.036,c
59681.25489,1.575,1.194,39.499,11.53014,15.301,0.035,c
59681.27348,1.575,1.194,39.495,11.52828,15.361,0.035,c
59682.29957,1.584,1.209,39.255,11.38878,15.157,0.021,o
59682.30322,1.584,1.209,39.255,11.38692,15.157,0.021,o
59682.31096,1.584,1.209,39.253,11.38692,15.175,0.022,o
59682.3224,1.584,1.209,39.25,11.38506,15.136,0.023,o
59682.32273,1.584,1.209,39.25,11.38506,15.223,0.025,o
59682.32592,1.584,1.209,39.249,11.38506,15.14,0.026,o
59682.336,1.584,1.209,39.247,11.3832,15.186,0.033,o
59682.34566,1.584,1.209,39.245,11.38134,15.17,0.026,o
59683.30067,1.592,1.223,39.024,11.253,15.222,0.023,o
59683.30386,1.592,1.223,39.023,11.253,15.194,0.022,o
59683.31116,1.593,1.223,39.022,11.253,15.236,0.023,o
59683.33511,1.593,1.224,39.016,11.24928,15.237,0.026,o
59684.27988,1.601,1.237,38.8,11.12466,15.247,0.022,o
59684.30056,1.601,1.238,38.795,11.12094,15.234,0.022,o
59684.30422,1.601,1.238,38.794,11.12094,15.297,0.023,o
59684.31204,1.601,1.238,38.793,11.11908,15.248,0.023,o
59684.31744,1.601,1.238,38.791,11.11908,15.258,0.025,o
59684.32719,1.601,1.238,38.789,11.11722,15.277,0.026,o
59684.3304,1.601,1.238,38.788,11.11722,15.238,0.025,o
59684.34143,1.601,1.238,38.786,11.11536,15.252,0.026,o
59684.79174,1.605,1.245,38.684,11.0577,15.245,0.039,o
59684.79448,1.605,1.245,38.683,11.05584,15.287,0.045,o
59689.24798,1.643,1.311,37.691,10.49598,15.444,0.018,o
59689.25119,1.643,1.312,37.691,10.49598,15.467,0.018,o
59689.2641,1.643,1.312,37.688,10.49412,15.458,0.018,o
59689.27425,1.643,1.312,37.686,10.49226,15.463,0.02,o
59691.01376,1.658,1.338,37.308,10.28394,15.546,0.024,o
59691.01691,1.658,1.339,37.307,10.28394,15.48,0.023,o
59691.02277,1.658,1.339,37.306,10.28208,15.54,0.023,o
59691.03269,1.658,1.339,37.303,10.28208,15.572,0.025,o
59691.34034,1.661,1.344,37.237,10.24488,15.656,0.031,o
59692.25529,1.668,1.358,37.04,10.13886,15.628,0.02,o
59694.97155,1.691,1.4,36.463,9.8301,15.761,0.031,o
59694.97479,1.691,1.4,36.463,9.8301,15.667,0.027,o
59694.98164,1.692,1.4,36.461,9.82824,15.708,0.025,o
59694.99153,1.692,1.401,36.459,9.82824,15.759,0.026,o
59695.24619,1.694,1.405,36.405,9.80034,15.753,0.021,o
59695.27159,1.694,1.405,36.4,9.79662,15.775,0.021,o
59695.29056,1.694,1.405,36.396,9.79476,15.762,0.02,o
59696.24269,1.702,1.42,36.196,9.6906,16.161,0.034,c
59696.24635,1.702,1.42,36.195,9.6906,16.142,0.033,c
59696.2523,1.702,1.421,36.194,9.68874,16.071,0.033,c
59696.26706,1.703,1.421,36.191,9.68688,16.102,0.032,c
