mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59696.31004,1.703,1.422,36.182,9.68316,15.824,0.02,o
59696.31326,1.703,1.422,36.181,9.68316,15.825,0.021,o
59696.31879,1.703,1.422,36.18,9.6813,15.781,0.02,o
59696.33355,1.703,1.422,36.177,9.6813,15.816,0.021,o
59698.30692,1.72,1.454,35.766,9.46926,16.132,0.022,c
59698.31012,1.72,1.454,35.765,9.46926,16.125,0.022,c
59698.31653,1.72,1.454,35.764,9.46926,16.142,0.023,c
59698.32706,1.72,1.454,35.762,9.4674,16.101,0.022,c
59698.98959,1.726,1.465,35.624,9.39858,15.886,0.026,o
59698.99282,1.726,1.465,35.624,9.39858,15.924,0.027,o
59698.99824,1.726,1.465,35.622,9.39672,15.903,0.026,o
59699.00793,1.726,1.465,35.62,9.39672,15.919,0.027,o
59699.29193,1.728,1.469,35.562,9.36696,15.931,0.024,o
59699.29746,1.728,1.47,35.561,9.36696,15.904,0.027,o
59699.30437,1.728,1.47,35.559,9.3651,15.844,0.069,o
59699.31589,1.729,1.47,35.557,9.3651,15.693,0.095,o
59700.23627,1.736,1.485,35.367,9.27024,16.111,0.032,c
59700.23994,1.736,1.485,35.366,9.27024,16.186,0.035,c
59700.24589,1.737,1.485,35.365,9.26838,16.282,0.031,c
59700.70432,1.74,1.492,35.271,9.22188,15.964,0.035,o
59700.70806,1.74,1.493,35.27,9.22188,15.891,0.031,o
59700.7132,1.741,1.493,35.269,9.22188,15.963,0.032,o
59700.72442,1.741,1.493,35.267,9.22002,15.955,0.031,o
59700.72488,1.741,1.493,35.266,9.22002,15.998,0.031,o
59700.72831,1.741,1.493,35.266,9.22002,16.001,0.031,o
59700.74439,1.741,1.493,35.262,9.21816,15.944,0.028,o
59704.24232,1.771,1.551,34.548,8.87592,16.437,0.028,c
59710.2355,1.822,1.652,33.341,8.3328,16.36,0.086,o
59710.23872,1.822,1.652,33.34,8.33094,16.593,0.085,o
59711.03372,1.829,1.666,33.181,8.26398,16.454,0.07,o
59711.03671,1.829,1.666,33.181,8.26398,16.351,0.062,o
59711.04325,1.829,1.666,33.179,8.26212,16.516,0.073,o
59711.0538,1.829,1.666,33.177,8.26212,16.327,0.066,o
59711.25472,1.831,1.669,33.137,8.24538,16.439,0.038,o
59711.27321,1.831,1.67,33.133,8.24352,16.454,0.04,o
59711.27643,1.831,1.67,33.133,8.24352,16.44,0.04,o
59711.2821,1.831,1.67,33.132,8.24166,16.526,0.044,o
59714.30451,1.857,1.722,32.53,7.99242,16.411,0.045,o
59714.31003,1.857,1.722,32.529,7.99242,16.804,0.066,o
59714.31417,1.857,1.722,32.528,7.99242,16.433,0.048,o
59714.32523,1.857,1.722,32.526,7.99056,16.893,0.095,o
59714.98662,1.863,1.734,32.395,7.93848,16.572,0.073,o
59714.98932,1.863,1.734,32.394,7.93848,16.728,0.083,o
59714.99928,1.863,1.734,32.392,7.93662,16.597,0.077,o
59715.00428,1.863,1.734,32.391,7.93662,16.699,0.084,o
59716.24996,1.873,1.756,32.144,7.83804,16.755,0.041,o
59716.25465,1.874,1.756,32.143,7.83804,16.683,0.04,o
59716.25954,1.874,1.756,32.142,7.83804,16.742,0.044,o
59716.29207,1.874,1.757,32.136,7.83618,16.735,0.059,o
59716.29574,1.874,1.757,32.135,7.83432,16.779,0.063,o
59716.30488,1.874,1.757,32.133,7.83432,16.688,0.06,o
59716.31768,1.874,1.757,32.131,7.83246,16.691,0.064,o
59719.04194,1.897,1.805,31.592,7.626,16.751,0.048,o
59719.04565,1.897,1.805,31.591,7.626,16.885,0.054,o
59719.05117,1.897,1.805,31.59,7.626,16.786,0.053,o
59719.06149,1.897,1.805,31.588,7.62414,16.763,0.057,o
59720.2705,1.908,1.827,31.349,7.53486,17.065,0.037,c
59720.2737,1.908,1.827,31.348,7.53486,17.035,0.037,c
59720.27968,1.908,1.827,31.347,7.53486,17.046,0.037,c
59720.29295,1.908,1.827,31.345,7.533,17.224,0.044,c
59724.70368,1.946,1.906,30.473,7.22238,17.044,0.049,o
59724.70744,1.946,1.906,30.473,7.22238,17.021,0.047,o
59724.71317,1.946,1.906,30.472,7.22238,17.059,0.047,o
59724.72303,1.946,1.906,30.47,7.22238,16.911,0.042,o
59726.94175,1.965,1.946,30.031,7.07358,16.78,0.099,o
59726.94542,1.965,1.946,30.03,7.07358,17.144,0.093,o
59726.95281,1.965,1.946,30.029,7.07358,17.064,0.059,o
59726.9639,1.965,1.946,30.027,7.07172,16.944,0.048,o
59728.71512,1.98,1.978,29.68,6.96012,17.111,0.05,o
59728.7183,1.98,1.978,29.68,6.96012,17.22,0.055,o
